ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
tobimichigan/christmas-tree-packing-optimization-algorithm,Handsonlabs Software Academy,Christmas Tree Packing Optimization Algorithm,25,,false,false,SA;Ensemble;Physics;Greedy,joblib;matplotlib;numpy;pandas;scipy;shapely;sklearn;tensorflow,945,False,,True,False,True,True,https://www.kaggle.com/code/tobimichigan/christmas-tree-packing-optimization-algorithm,downloaded/tobimichigan_christmas-tree-packing-optimization-algorithm,,,
hanifnoerrofiq/blend-em-all,Hanif Noer Rofiq,blend 'em all,8,,false,false,Ensemble,pandas,34,False,,False,False,True,True,https://www.kaggle.com/code/hanifnoerrofiq/blend-em-all,downloaded/hanifnoerrofiq_blend-em-all,68.710286353194,Hanif Noer Rofiq,265
mygaps/ensemble-with-collision-resolver,Maxim Gerasimov,Ensemble with Collision Resolver,4,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1259,False,,True,False,True,True,https://www.kaggle.com/code/mygaps/ensemble-with-collision-resolver,downloaded/mygaps_ensemble-with-collision-resolver,70.250113106141,Maxim Gerasimov,270
jazivxt/team-optimization-template,jazivxt,Team Optimization Template,23,,false,false,Translation;Ensemble,numpy;pandas;shapely,540,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/team-optimization-template,downloaded/jazivxt_team-optimization-template,70.859592457139,Very Ape,64
jazivxt/teamwork-dreamwork,jazivxt,🐦🇨‌  - Teamwork Dreamwork,54,,false,false,Sparrow;Translation;Ensemble;Greedy,,270,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/teamwork-dreamwork,downloaded/jazivxt_teamwork-dreamwork,78.220816873246,Very Ape,64
nikitakuznetsof/just-luck,[Novosibirsk] Nikita Kuznetsov,Just luck,45,,false,false,Ensemble,matplotlib;numpy;pandas;shapely,488,False,,True,False,True,True,https://www.kaggle.com/code/nikitakuznetsof/just-luck,downloaded/nikitakuznetsof_just-luck,70.250334780148,KIT,83
datafad/bbox-basic,🔥🦫📿🗽,BBox Basic,103,,false,false,Ensemble,,5,False,,False,False,True,True,https://www.kaggle.com/code/datafad/bbox-basic,downloaded/datafad_bbox-basic,70.426154192257,Tree Cuts,206
roshaw/new-year-same-old-bbox,Robert,"New Year, Same Old BBOX",67,,false,false,Ensemble,numba;numpy;pandas;shapely,174,False,,False,False,True,True,https://www.kaggle.com/code/roshaw/new-year-same-old-bbox,downloaded/roshaw_new-year-same-old-bbox,70.771927033128,Tree Cuts,206
daniilkrizhanovskyi/new-year-same-old-bbox,Daniil Krizhanovskyi,"New Year, Same Old BBOX",29,,false,false,Ensemble,numpy;pandas,348,False,,True,False,True,True,https://www.kaggle.com/code/daniilkrizhanovskyi/new-year-same-old-bbox,downloaded/daniilkrizhanovskyi_new-year-same-old-bbox,70.924270178389,,
akashbethe/santa-2025-ml-notebook,Akash Bethe,Santa 2025 ML Notebook,3,,false,false,Ensemble,matplotlib;numpy;pandas;sklearn,137,False,,False,True,True,True,https://www.kaggle.com/code/akashbethe/santa-2025-ml-notebook,downloaded/akashbethe_santa-2025-ml-notebook,,,
datafad/fork-of-the-fork,🔥🦫📿🗽,Fork of the fork,138,,false,false,Ensemble,numba;numpy;pandas;shapely,172,True,the-fork,False,False,True,True,https://www.kaggle.com/code/datafad/fork-of-the-fork,downloaded/datafad_fork-of-the-fork,70.331168590014,Tree Cuts,206
raviganjir/notebook1b6e2a5de7,Ravi-Quantum-Circle,notebook1b6e2a5de7,0,,false,false,Ensemble;Physics,numpy;pandas;sklearn;tensorflow,1665,False,,True,False,True,True,https://www.kaggle.com/code/raviganjir/notebook1b6e2a5de7,downloaded/raviganjir_notebook1b6e2a5de7,,,
cdeotte/compare-two-public-notebooks,Chris Deotte,Compare Two Public Notebooks,58,,false,false,Translation;Ensemble,matplotlib;pandas;shapely,198,True,,False,True,True,True,https://www.kaggle.com/code/cdeotte/compare-two-public-notebooks,downloaded/cdeotte_compare-two-public-notebooks,,,
smartmanoj/santa-packing-gpu-accelerated-simulated-anneal,Smart Manoj,🎄 Santa Packing: GPU-Accelerated Simulated Anneal,1,,false,false,Ensemble,numpy;pandas;scipy;shapely,659,False,,True,False,True,True,https://www.kaggle.com/code/smartmanoj/santa-packing-gpu-accelerated-simulated-anneal,downloaded/smartmanoj_santa-packing-gpu-accelerated-simulated-anneal,,Smart Manoj,116
