ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
jeroencottaar/santa-2025-1st-place-solution,Jeroen Cottaar,Santa 2025 1st place solution,2,,false,false,GA,matplotlib;pandas,81,False,,True,False,True,False,https://www.kaggle.com/code/jeroencottaar/santa-2025-1st-place-solution,downloaded/jeroencottaar_santa-2025-1st-place-solution,,Jeroen Cottaar,1
elvenmonk/4-leaf-clover,Serhii Hrynko,4 Leaf Clover,8,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1895,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/4-leaf-clover,downloaded/elvenmonk_4-leaf-clover,,Serhii H. & Santa ClaudeOpus,66
elvenmonk/pure-grid,Serhii Hrynko,Pure Grid,2,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1250,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/pure-grid,downloaded/elvenmonk_pure-grid,,Serhii H. & Santa ClaudeOpus,66
mansoonseason77/santa25-deck-the-halls-with-genetic-algorithm,Ansun Sujoe,[Santa25] Deck the Halls with Genetic Algorithm,25,,false,false,GA;Translation,matplotlib;numpy;pygad;shapely,485,False,,False,True,False,False,https://www.kaggle.com/code/mansoonseason77/santa25-deck-the-halls-with-genetic-algorithm,downloaded/mansoonseason77_santa25-deck-the-halls-with-genetic-algorithm,,,
krishnayadav456wrsty/santa-2025-christmas,Krishna Yadu, Santa 2025 Christmas,1,,false,false,GA,numpy;pandas,133,False,,True,False,True,False,https://www.kaggle.com/code/krishnayadav456wrsty/santa-2025-christmas,downloaded/krishnayadav456wrsty_santa-2025-christmas,20313.1637098852,,
amitkumargope/santa-2025-christmas-tree-challenge,Amit kumar Gope,Santa 2025 - Christmas Tree Challenge,3,,false,false,GA;Translation;Greedy,matplotlib;numpy;pandas;scipy,394,False,,True,False,True,False,https://www.kaggle.com/code/amitkumargope/santa-2025-christmas-tree-challenge,downloaded/amitkumargope_santa-2025-christmas-tree-challenge,,,
elvenmonk/christmas-tetris,Serhii Hrynko,Christmas Tetris,2,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1067,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/christmas-tetris,downloaded/elvenmonk_christmas-tetris,,Serhii H. & Santa ClaudeOpus,66
skyeloitz/sovereign-elite-v9-leaderboard-ready,Skye Loitz,Sovereign Elite V9 Leaderboard Ready,0,,false,false,GA;Ensemble;Physics;RL,joblib;numpy;pandas;shapely,967,False,,True,False,True,True,https://www.kaggle.com/code/skyeloitz/sovereign-elite-v9-leaderboard-ready,downloaded/skyeloitz_sovereign-elite-v9-leaderboard-ready,,,
kirillkuklin/santa-2025-tree-packaging-ga,Kirill Kuklin,Santa 2025 - Tree packaging - GA,0,,false,false,GA;Physics,joblib;matplotlib;numpy;pandas;shapely,325,False,,True,False,True,False,https://www.kaggle.com/code/kirillkuklin/santa-2025-tree-packaging-ga,downloaded/kirillkuklin_santa-2025-tree-packaging-ga,115.563590527417,,
jurgenpaulwesterveld/super-santa-prepacker-optimizer,Jurgenpaul Westerveld,super-santa-prepacker-optimizer,13,,false,false,GA,numpy;pandas;torch,432,False,,True,False,True,False,https://www.kaggle.com/code/jurgenpaulwesterveld/super-santa-prepacker-optimizer,downloaded/jurgenpaulwesterveld_super-santa-prepacker-optimizer,,,
