ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
tobimichigan/christmas-tree-packing-optimization-algorithm,Handsonlabs Software Academy,Christmas Tree Packing Optimization Algorithm,25,,false,false,SA;Ensemble;Physics;Greedy,joblib;matplotlib;numpy;pandas;scipy;shapely;sklearn;tensorflow,945,False,,True,False,True,True,https://www.kaggle.com/code/tobimichigan/christmas-tree-packing-optimization-algorithm,downloaded/tobimichigan_christmas-tree-packing-optimization-algorithm,,,
sushanthegde/collision-free-christmas-tree-packing-with-shapely,sushant hegde,Collision-Free Christmas Tree Packing with Shapely,1,,false,false,Greedy,matplotlib;numpy;pandas;shapely,441,False,,True,False,True,False,https://www.kaggle.com/code/sushanthegde/collision-free-christmas-tree-packing-with-shapely,downloaded/sushanthegde_collision-free-christmas-tree-packing-with-shapely,,,
jazivxt/teamwork-dreamwork,jazivxt,🐦🇨‌  - Teamwork Dreamwork,54,,false,false,Sparrow;Translation;Ensemble;Greedy,,270,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/teamwork-dreamwork,downloaded/jazivxt_teamwork-dreamwork,78.220816873246,Very Ape,64
mr0106/santa-2025-guaranteed-collision-free-solution,Mohammad Ragab,SANTA 2025 - GUARANTEED COLLISION-FREE SOLUTION,6,,false,false,Greedy,numpy;pandas;shapely,259,False,,True,False,True,True,https://www.kaggle.com/code/mr0106/santa-2025-guaranteed-collision-free-solution,downloaded/mr0106_santa-2025-guaranteed-collision-free-solution,,,
cigarzon/santa-2025-getting-started,Cigarzon,Santa 2025 - Getting Started,1,,false,false,Translation;Physics;Greedy,matplotlib;numpy;pandas;shapely,343,False,,True,False,True,False,https://www.kaggle.com/code/cigarzon/santa-2025-getting-started,downloaded/cigarzon_santa-2025-getting-started,,,
monicapesala/santa-2025-greedy-baseline,Monica Pesala,Santa 2025 – Greedy Baseline,2,,false,false,Greedy,matplotlib;numpy;pandas,48,False,,False,True,True,False,https://www.kaggle.com/code/monicapesala/santa-2025-greedy-baseline,downloaded/monicapesala_santa-2025-greedy-baseline,,,
learnmore1/anneal-for-santa-packing-multi-try-sa-squeeze,no-magic,Anneal++ for Santa Packing: Multi-Try SA + Squeeze,24,,false,false,Translation;Greedy,,1689,False,,True,False,True,False,https://www.kaggle.com/code/learnmore1/anneal-for-santa-packing-multi-try-sa-squeeze,downloaded/learnmore1_anneal-for-santa-packing-multi-try-sa-squeeze,70.778842022439,,
sohonsagarsingha/santa-is-packing,PrimeS,Santa is packing.,1,,false,false,Greedy,matplotlib;numpy;pandas;shapely,132,False,,False,True,True,False,https://www.kaggle.com/code/sohonsagarsingha/santa-is-packing,downloaded/sohonsagarsingha_santa-is-packing,172.505422676984,,
rohitkumarsity/notebooke3bd60a238rohit,Rohit Kumar,notebooke3bd60a238Rohit,1,,false,false,Physics;Greedy,matplotlib;numpy;pandas;shapely,216,False,,True,False,True,False,https://www.kaggle.com/code/rohitkumarsity/notebooke3bd60a238rohit,downloaded/rohitkumarsity_notebooke3bd60a238rohit,,,
ladiposamson/santa-2025,Ladipo Samson,SANTA 2025,9,,false,false,Translation;Physics;Greedy,matplotlib;numpy;pandas;shapely,814,False,,True,False,True,False,https://www.kaggle.com/code/ladiposamson/santa-2025,downloaded/ladiposamson_santa-2025,177.70512597345,,
husnind/hybrid-tree-packing-solver-first-try,Husnind,Hybrid Tree Packing Solver - First try,13,,false,false,Physics;Greedy,numpy;pandas;shapely,288,False,,True,False,True,False,https://www.kaggle.com/code/husnind/hybrid-tree-packing-solver-first-try,downloaded/husnind_hybrid-tree-packing-solver-first-try,,,
xyzeys/baseline-greedy-v1,xyz eys,baseline-greedy-v1,4,,false,false,SA;Greedy,pandas;shapely,254,False,,True,False,True,False,https://www.kaggle.com/code/xyzeys/baseline-greedy-v1,downloaded/xyzeys_baseline-greedy-v1,168.80698029163,,
rafifariqrabbani/alns-for-christmas-tree-packing,Rafif Ariq Rabbani,ALNS for Christmas Tree Packing,9,,false,false,Translation;Greedy,matplotlib;numpy;pandas;scipy;shapely;sklearn,1196,False,,True,False,True,False,https://www.kaggle.com/code/rafifariqrabbani/alns-for-christmas-tree-packing,downloaded/rafifariqrabbani_alns-for-christmas-tree-packing,,,
niladri2005/notebooke4c6201680,Niladri Saha,notebooke4c6201680,0,,false,false,Physics;Greedy,matplotlib;numpy;pandas;shapely,213,False,,True,False,True,False,https://www.kaggle.com/code/niladri2005/notebooke4c6201680,downloaded/niladri2005_notebooke4c6201680,,,
anantpandey29/santa-2025-ho-ho-holdout,Anant Pandey,🎄 Santa 2025: Ho Ho Holdout,1,,false,false,SA;Greedy,matplotlib;numpy;pandas;shapely,253,False,,True,False,True,False,https://www.kaggle.com/code/anantpandey29/santa-2025-ho-ho-holdout,downloaded/anantpandey29_santa-2025-ho-ho-holdout,152.647206531204,,
atshimamura/santa-2025-getting-started,at_shimamura,【日本語解説】Santa 2025 - Getting Started,3,,false,false,Physics;Greedy,matplotlib;numpy;pandas;shapely,213,False,,True,False,True,False,https://www.kaggle.com/code/atshimamura/santa-2025-getting-started,downloaded/atshimamura_santa-2025-getting-started,174.321112980559,Sky Lion,266
shraddhasingh555/notebookccfdbb73ef,shraddha singh,notebookccfdbb73ef,1,,false,false,SA;Greedy,multiprocessing;numpy;pandas;shapely,278,False,,True,False,True,False,https://www.kaggle.com/code/shraddhasingh555/notebookccfdbb73ef,downloaded/shraddhasingh555_notebookccfdbb73ef,,,
sonu07022005/paking-with-diff-diff-method,sonu@0702@2005,paking_with_diff_diff_method,4,,false,false,SA;Greedy,matplotlib;numpy;pandas;scipy,1131,False,,True,False,True,False,https://www.kaggle.com/code/sonu07022005/paking-with-diff-diff-method,downloaded/sonu07022005_paking-with-diff-diff-method,,,
asyaaatru/christmas-tree-tetris,asyaaatru,Christmas_Tree_Tetris,9,,false,false,Greedy,matplotlib;numpy;pandas;shapely,239,False,,False,True,True,False,https://www.kaggle.com/code/asyaaatru/christmas-tree-tetris,downloaded/asyaaatru_christmas-tree-tetris,169.400020485556,,
emanafi/santa-2025-challenge,Eman Afi,Santa 2025 Challenge,24,,false,false,SA;Greedy,matplotlib;numpy;pandas;scipy;shapely,780,False,,True,False,True,False,https://www.kaggle.com/code/emanafi/santa-2025-challenge,downloaded/emanafi_santa-2025-challenge,,,
