ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
tobimichigan/christmas-tree-packing-optimization-algorithm,Handsonlabs Software Academy,Christmas Tree Packing Optimization Algorithm,25,,false,false,SA;Ensemble;Physics;Greedy,joblib;matplotlib;numpy;pandas;scipy;shapely;sklearn;tensorflow,945,False,,True,False,True,True,https://www.kaggle.com/code/tobimichigan/christmas-tree-packing-optimization-algorithm,downloaded/tobimichigan_christmas-tree-packing-optimization-algorithm,,,
elvenmonk/4-leaf-clover,Serhii Hrynko,4 Leaf Clover,8,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1895,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/4-leaf-clover,downloaded/elvenmonk_4-leaf-clover,,Serhii H. & Santa ClaudeOpus,66
elvenmonk/merge-manager,Serhii Hrynko,Merge Manager,5,,false,false,Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,618,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/merge-manager,downloaded/elvenmonk_merge-manager,,Serhii H. & Santa ClaudeOpus,66
elvenmonk/pure-grid,Serhii Hrynko,Pure Grid,2,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1250,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/pure-grid,downloaded/elvenmonk_pure-grid,,Serhii H. & Santa ClaudeOpus,66
artemevstafyev/tree-layout-from-image,Artem,Tree Layout from Image,72,,false,false,Physics,cv2;matplotlib;numpy;pandas;shapely,219,False,,True,False,True,False,https://www.kaggle.com/code/artemevstafyev/tree-layout-from-image,downloaded/artemevstafyev_tree-layout-from-image,70.521208086649,ST,143
artemevstafyev/merge-and-optimise,Artem,Merge and Optimise,70,,false,false,Translation;Physics,numpy;pandas;shapely,1094,True,,True,False,True,True,https://www.kaggle.com/code/artemevstafyev/merge-and-optimise,downloaded/artemevstafyev_merge-and-optimise,70.504882953247,ST,143
artemevstafyev/dense-block-approach,Artem,Dense block approach,78,,false,false,Physics,matplotlib;numpy;pandas;scipy;shapely,270,False,,True,False,True,False,https://www.kaggle.com/code/artemevstafyev/dense-block-approach,downloaded/artemevstafyev_dense-block-approach,70.597225251798,ST,143
ashrafulhossenakash/70-6590-santa,Ashraful,70.6590 _ Santa,11,,false,false,Physics,,548,False,,True,False,True,False,https://www.kaggle.com/code/ashrafulhossenakash/70-6590-santa,downloaded/ashrafulhossenakash_70-6590-santa,70.659030524309,shr,5
kirkdco/kmer-aspect-ratio-survey,KirkDCO,kmer Aspect Ratio Survey,19,,false,false,Translation;Physics,matplotlib;multiprocessing;numpy;shapely,503,False,,True,False,False,False,https://www.kaggle.com/code/kirkdco/kmer-aspect-ratio-survey,downloaded/kirkdco_kmer-aspect-ratio-survey,,,
cigarzon/santa-2025-getting-started,Cigarzon,Santa 2025 - Getting Started,1,,false,false,Translation;Physics;Greedy,matplotlib;numpy;pandas;shapely,343,False,,True,False,True,False,https://www.kaggle.com/code/cigarzon/santa-2025-getting-started,downloaded/cigarzon_santa-2025-getting-started,,,
nicupetridean/fast-simulated-annealing-cpp-version,Nicu,Fast simulated annealing - CPP version,127,,false,false,Physics,,548,False,,True,False,True,False,https://www.kaggle.com/code/nicupetridean/fast-simulated-annealing-cpp-version,downloaded/nicupetridean_fast-simulated-annealing-cpp-version,70.410577262982,ST,143
sahilmurhekar/santa-2025-approach-3-cpp,Sahil Murhekar,Santa 2025 - Approach 3 Cpp,7,,false,false,Physics,matplotlib;numpy;pandas;shapely,149,False,,True,False,True,False,https://www.kaggle.com/code/sahilmurhekar/santa-2025-approach-3-cpp,downloaded/sahilmurhekar_santa-2025-approach-3-cpp,,,
rohitkumarsity/notebooke3bd60a238rohit,Rohit Kumar,notebooke3bd60a238Rohit,1,,false,false,Physics;Greedy,matplotlib;numpy;pandas;shapely,216,False,,True,False,True,False,https://www.kaggle.com/code/rohitkumarsity/notebooke3bd60a238rohit,downloaded/rohitkumarsity_notebooke3bd60a238rohit,,,
raviganjir/notebook1b6e2a5de7,Ravi-Quantum-Circle,notebook1b6e2a5de7,0,,false,false,Ensemble;Physics,numpy;pandas;sklearn;tensorflow,1665,False,,True,False,True,True,https://www.kaggle.com/code/raviganjir/notebook1b6e2a5de7,downloaded/raviganjir_notebook1b6e2a5de7,,,
ladiposamson/santa-2025,Ladipo Samson,SANTA 2025,9,,false,false,Translation;Physics;Greedy,matplotlib;numpy;pandas;shapely,814,False,,True,False,True,False,https://www.kaggle.com/code/ladiposamson/santa-2025,downloaded/ladiposamson_santa-2025,177.70512597345,,
husnind/hybrid-tree-packing-solver-first-try,Husnind,Hybrid Tree Packing Solver - First try,13,,false,false,Physics;Greedy,numpy;pandas;shapely,288,False,,True,False,True,False,https://www.kaggle.com/code/husnind/hybrid-tree-packing-solver-first-try,downloaded/husnind_hybrid-tree-packing-solver-first-try,,,
anhadmahajan06/santa-2025-aggressive-gpu-annealer,Anhad Mahajan,Santa 2025 – Aggressive GPU Annealer ,8,,false,false,Physics,numpy;pandas;shapely;torch,140,False,,True,False,True,False,https://www.kaggle.com/code/anhadmahajan06/santa-2025-aggressive-gpu-annealer,downloaded/anhadmahajan06_santa-2025-aggressive-gpu-annealer,676.105665977624,,
nocarbonintelligence/santa-2025-tilingmultistartsa-strtree,LazyUnicorn,Santa_2025_TilingMultiStartSA_STRtree,6,,false,false,SA;Translation;Physics,matplotlib;numpy;shapely,274,False,,True,False,False,False,https://www.kaggle.com/code/nocarbonintelligence/santa-2025-tilingmultistartsa-strtree,downloaded/nocarbonintelligence_santa-2025-tilingmultistartsa-strtree,,,
niladri2005/notebooke4c6201680,Niladri Saha,notebooke4c6201680,0,,false,false,Physics;Greedy,matplotlib;numpy;pandas;shapely,213,False,,True,False,True,False,https://www.kaggle.com/code/niladri2005/notebooke4c6201680,downloaded/niladri2005_notebooke4c6201680,,,
alexsch86/santa-2025-my-starter-solution,Alex Schiaucu,Santa 2025 my starter solution,1,,false,false,Physics,matplotlib;numpy;pandas;shapely,220,False,,False,True,True,False,https://www.kaggle.com/code/alexsch86/santa-2025-my-starter-solution,downloaded/alexsch86_santa-2025-my-starter-solution,176.332601598467,,
atshimamura/santa-2025-getting-started,at_shimamura,【日本語解説】Santa 2025 - Getting Started,3,,false,false,Physics;Greedy,matplotlib;numpy;pandas;shapely,213,False,,True,False,True,False,https://www.kaggle.com/code/atshimamura/santa-2025-getting-started,downloaded/atshimamura_santa-2025-getting-started,174.321112980559,Sky Lion,266
daniil1423/santa-2025-full-public-best-score,Daniil1423,Santa 2025| full public | best score 🔥🔥🔥,23,,false,false,Physics,numpy;pandas;scipy;shapely,208,False,,True,False,True,False,https://www.kaggle.com/code/daniil1423/santa-2025-full-public-best-score,downloaded/daniil1423_santa-2025-full-public-best-score,,,
blueshyy/santa-2025-ensemble-sa-greedy-backtracking-tes,Zelin Huang,Santa 2025 ensemble + SA + greedy_backtracking tes,114,,false,false,SA;Ensemble;Physics,multiprocessing;pandas;shapely,823,False,,True,False,True,True,https://www.kaggle.com/code/blueshyy/santa-2025-ensemble-sa-greedy-backtracking-tes,downloaded/blueshyy_santa-2025-ensemble-sa-greedy-backtracking-tes,,ST,143
hwkims/fork-of-fork-of-exp-annealing-hybrid,Hyun-woo Kim,Fork of fork of exp-annealing-hybrid,13,,false,false,Ensemble;Physics,matplotlib;numpy;pandas;shapely,233,True,fork-of-exp-annealing-hybrid,True,False,True,True,https://www.kaggle.com/code/hwkims/fork-of-fork-of-exp-annealing-hybrid,downloaded/hwkims_fork-of-fork-of-exp-annealing-hybrid,86.166670742874,,
hwkims/fork-of-exp-annealing-hybrid,Hyun-woo Kim,fork of exp-annealing-hybrid,6,,false,false,Physics,numpy;pandas;shapely,202,True,exp-annealing-hybrid,True,False,True,False,https://www.kaggle.com/code/hwkims/fork-of-exp-annealing-hybrid,downloaded/hwkims_fork-of-exp-annealing-hybrid,173.290301830319,,
pikaaa/santaclaude-ka-tree,PiKaaa,SantaClaude ka Tree,2,,false,false,Translation;Physics,numba;numpy;pandas,446,False,,True,False,True,False,https://www.kaggle.com/code/pikaaa/santaclaude-ka-tree,downloaded/pikaaa_santaclaude-ka-tree,104.089868964801,,
stpeteishii/santa-2d-packing-auto-manual-arrangement,stpete_ishii,Santa 2D Packing Auto/Manual Arrangement,11,,false,false,Physics;Greedy,matplotlib;pandas;shapely,275,False,,False,True,False,False,https://www.kaggle.com/code/stpeteishii/santa-2d-packing-auto-manual-arrangement,downloaded/stpeteishii_santa-2d-packing-auto-manual-arrangement,,,
karltonkxb/santa-2025-second-try,Samidullo,Santa 2025 - Second try,17,,false,false,Physics;Greedy,pandas;shapely,265,False,,True,False,True,False,https://www.kaggle.com/code/karltonkxb/santa-2025-second-try,downloaded/karltonkxb_santa-2025-second-try,166.861879568148,,
zorornoa/christmas-tree-package,Arun R.noa,Christmas_tree_package,6,,false,false,Physics,matplotlib;multiprocessing;numpy;pandas;shapely;sklearn;torch,450,False,,True,False,False,False,https://www.kaggle.com/code/zorornoa/christmas-tree-package,downloaded/zorornoa_christmas-tree-package,,,
chiragkandpal/frosty-s-fast-packer,Chirag kandpal,Frosty's Fast Packer,8,,false,false,SA;Physics,numpy;pandas;shapely,146,False,,True,False,True,False,https://www.kaggle.com/code/chiragkandpal/frosty-s-fast-packer,downloaded/chiragkandpal_frosty-s-fast-packer,,,
