rank,team,score,date,writeup_url,notebook_path,usernames
1,Jeroen Cottaar,68.781235119300,2026-01-30T23:58:23.88Z,https://www.kaggle.com/competitions/santa-2025/writeups/1st-place-genetic-algorithm-and-gpu-relaxation,downloaded/jeroencottaar_santa-2025-1st-place-first-share,jeroencottaar
2,KiRaRe,68.800801749630,2026-01-30T23:52:36.1166667Z,,,terry16u;cnumber;nagiss
3,🎄 Jingle bins 🎄,68.813069638446,2026-01-30T23:51:41.9966667Z,https://www.kaggle.com/competitions/santa-2025/writeups/third-place-solution-a-customized-sparrow-algorit,,zidmie;delporterobbe;olehugnivenko;group16;khahuras
4,bowwowplusa,68.852414532646,2026-01-30T23:58:44.1633333Z,https://www.kaggle.com/competitions/santa-2025/writeups/4th-place-hybrid-packing-with-sparrow-manual-str,,bowwowforeach;montplusa
5,shr,68.876417057311,2026-01-30T23:53:59.8966667Z,https://www.kaggle.com/competitions/santa-2025/writeups/santa-2025-5th-place-solution,,pengeon;aryanmdev;sayyamwadhwa;marwanashref;sriram142000;rooshroosh;ashishrajput9;ashrafulhossenakash;shree85;harshrofff;oimoio;aashutoshrohilla;drshredz;yashraghu01;devparikh56;nitinmishra10;abdullah112;ajshreim;saanvi09;akileshreddyk;aayushrivastava;ritesh1515d;harshrajbhar;mdbarik
6,sparrow,68.907045657149,2026-01-30T23:53:33.6833333Z,,,jern97;tonywauters
7,hiyodori411,68.999296423781,2026-01-30T23:55:59.73Z,,,hiyodori411sekirei
8,Lucien de Rubempre,69.059824148111,2026-01-30T23:09:16.1766667Z,https://www.kaggle.com/competitions/santa-2025/writeups/santa25-8th-place,,lucienderubempre
9,redblackbst,69.073355753126,2026-01-30T23:57:00.8166667Z,https://www.kaggle.com/competitions/santa-2025/writeups/exploiting-homogeneity-in-feasibility-driven-polyg,,redblackbst
10,Full Spectrum,69.075413525542,2026-01-30T22:13:14.82Z,,,daisukemaeda3;ku0807;kjoonha;milkcoffeen;zaburo
11,mtmr_s1,69.106265661872,2026-01-30T23:51:30.8466667Z,https://www.kaggle.com/competitions/santa-2025/writeups/11th-place-solution,,mtmrs1
12,Santa AI Chaotic Elves,69.131026324361,2026-01-30T23:31:59.7533333Z,https://www.kaggle.com/competitions/santa-2025/writeups/santa25-12th-place,,egortrushin;jiweiliu;tonylica;yiheng
13,The Tree Musketeers,69.142423145228,2026-01-30T23:49:49.3966667Z,https://www.kaggle.com/competitions/santa-2025/writeups/13th-place-santa25-billiard-customized-sparrow,,veniaminnelin;solverworld;yuchen2066;danielphalen
14,Ganfear,69.223723990980,2026-01-30T23:55:52.7Z,https://www.kaggle.com/competitions/santa-2025/writeups/santa25-14th-place-custom-simulated-annealing,,ganfear
15,One Musketeer & klog,69.226581795290,2026-01-30T23:49:49.1366667Z,https://www.kaggle.com/competitions/santa-2025/writeups/santa25-15th-place,,itswin;mhrzmmhrzm
16,Merry Vibing,69.235255216843,2026-01-30T23:56:19.5Z,,,cody11null;kirill0212;albartrose;trudih;webmaking
17,CYGAR,69.239946916192,2026-01-30T23:44:51.0033333Z,,,raresbarbantan;alvaroborras;chris62;gabrielbjg;yukiohkawa
18,Ben G,69.243700231889,2026-01-30T23:52:28.2233333Z,,,bengle
19,treehopper,69.261489686240,2026-01-30T23:46:06.6133333Z,https://www.kaggle.com/competitions/santa-2025/writeups/loosen-up-add-a-tree-and-let-sparrow-explore,,vineetkreddy
20,中本會 + uta_ccc,69.263312394338,2026-01-30T23:55:28.16Z,,,
21,koh,69.280625310618,2026-01-30T14:23:13.82Z,,,koheitada;kohesaka;keakohv;tomookikohri;koheiuno;kshintani
22,(´･_･`),69.291471768396,2026-01-30T23:57:23.4333333Z,,,tanakh
23,Destr001ers,69.304939878869,2026-01-30T23:55:24.9833333Z,,,blueshyy;wyz114514;masakiaota;hiromiayase;sidett
24,Rafbill,69.354311223939,2025-12-11T04:58:43.3066667Z,,,rafbill
25,I speak for the trees,69.456203603740,2026-01-30T21:38:09.7566667Z,,,stefanhy;phillipkeldenich;dkrupke;bicotsp
26,maxplus,69.482300438359,2026-01-30T23:58:20.0633333Z,,,maxplus
27,Always Day Zero,69.498556872878,2026-01-29T07:55:04.9433333Z,,,bladerunner2022;davegreer;andrewrrose;thegrey;jakkkc
28,гриша не купил нам компьют,69.522548213458,2026-01-30T23:56:20.3933333Z,,,ilolss;sohatiy;flimsydwarf
29,aruaru0,69.626886934967,2026-01-30T23:34:12.1266667Z,,,aruaru0
30,mech_39,69.654411619401,2026-01-28T01:29:28.2066667Z,,,mech39
31,East Santa,69.661282729739,2026-01-30T19:01:46.16Z,https://www.kaggle.com/competitions/santa-2025/writeups/east-team-solution,,faykudbq;kosirowada;amonkizawa;woosungyoon;poptoppop
32,drdbdr,69.704319992463,2026-01-27T16:00:38.6733333Z,,,drdbdr
33,adakoda,69.750000000000,2026-01-30T13:02:54.17Z,,,adakoda
34,Kaixuan,69.841011847935,2026-01-30T17:30:15.2Z,,,zhangtengfei02;kaixuanosmas;angran
35,MNSZS,69.842661397357,2026-01-30T23:55:37.7533333Z,,,nicupetridean;chistyakov;mohamed3abdelrazik;zejunfool;sch01ar
36,AMD is all you need,69.843146878166,2026-01-30T23:34:17.78Z,,,muhammadibrahim3093;void7ax;thunderstrikea
37,Team,69.847655628862,2026-01-30T23:28:37.5466667Z,,,paerwell;marksix;slavanorm;kasakasakun;cakiki;gfvdcujuzg35;hyujikawamura;kazsapp;surenvayradyan;decotoj;galacticvraj;kenyeungtech;ziyankhanpathan;kazukitokunaga;qihaiweng;deeplumiere;fiyinolaoluwa;jamespress;jiechenm;estherling;conormacamhlaoibh;yash9439;lawalgiyath12;ikeshavvarshney;abraxus1;nightven
38,Mathurin Aché,69.857472613673,2026-01-30T21:51:10.8666667Z,,,mathurinache
39,Kojima,69.885654068495,2026-01-30T23:56:33.9533333Z,,,kozima;kojimar
40,Amy,69.889754918824,2026-01-28T06:37:52.94Z,,,damirzaichenko;ironveil;samyakrajbayar;xlyawan;abdallahbitunguramye
41,Math N.C.,69.898344820595,2025-12-30T10:59:08.7766667Z,,,sheepjnu
42,Alanwan,69.901611922554,2026-01-27T10:48:33.2633333Z,,,alanwan2008
43,G&G,69.909499592193,2026-01-30T23:56:13.2Z,,,gabalz
44,lolzpo,69.924349307363,2026-01-30T23:17:38.3166667Z,,,lolzpo
45,Gready,69.928835187534,2026-01-30T11:31:10.2833333Z,,,zhouyunbo;kiroyx;phanteks
46,Genshin?Wuthering Waves!,69.933591664951,2026-01-30T23:42:52.7066667Z,,,cruisin2;quanquango
47,Order by aboba desc,69.947343475942,2026-01-30T23:12:36.3366667Z,,,neibyr;asimandia;kotomord
48,Vicens Gaitan,69.962014974693,2026-01-30T18:04:56.0266667Z,,,vicensgaitan
49,smurfk,69.965292462017,2026-01-30T23:57:02.3266667Z,,,smurfk
50,KNGANGStAS,69.977760785112,2026-01-30T23:58:53.9766667Z,,,cannedpeach;nifeshe
51,Roy & midnq,69.983419567391,2026-01-30T21:12:05.33Z,,,midnqly;royrrr
52,inversed,69.991178055720,2026-01-30T17:48:25.88Z,,,inversed
53,Yayolki Mnurukami 🎄🤏,69.991254099315,2026-01-29T13:33:09.0233333Z,,,dmitrysadykov
54,Prachi + Alex,69.997348738284,2025-12-16T18:18:28.27Z,,,
55,One Shot,70.007049528982,2026-01-30T22:53:49.0133333Z,,,hyh273279;lizaofang
56,SilkRoadHelpers,70.013405348748,2026-01-30T23:57:14.35Z,,,bakuer30;renta0426
57,shyjin,70.014333421631,2026-01-30T23:50:05.9333333Z,,,shyjin
58,catberrr,70.025239879011,2026-01-26T16:41:10.46Z,,,arcbin;moonerr;catberrr
59,Emil Partow,70.040138948644,2026-01-30T23:58:12.4833333Z,,,donpartinidonpartini
60,hiro116s,70.043494408961,2026-01-27T11:30:23.4433333Z,,,hiro116s
61,Hydraulic press,70.051047276139,2026-01-30T23:49:12.0633333Z,,,alexandremoritz
62,Xfeng Zhang,70.052261402033,2026-01-30T23:38:26.8866667Z,,,zemolulu
63,rc95401,70.052446353371,2026-01-30T23:53:37.2366667Z,,,rc95401
64,Very Ape,70.053563988720,2026-01-30T23:56:49.84Z,,,rudikruger;kmmmvs;jazivxt;analyticaobscura;daniilkrasnoproshin
65,nasubiman,70.053722867905,2026-01-30T14:41:12.2733333Z,,,yousukenakamura
66,Serhii H. & Santa ClaudeOpus,70.058362953162,2026-01-30T23:57:49.9833333Z,,,elvenmonk
67,Stoicism Aeroplane,70.060906873324,2026-01-30T11:27:24.97Z,,,o2scix;mingyuqi
68,Maxim Lunitsin,70.076457612878,2026-01-30T14:58:54.0066667Z,,,blinchiklu
69,A HS,70.082743199276,2026-01-30T20:29:54.27Z,,,andres137
70,111,70.083167931059,2026-01-30T23:30:24.2766667Z,,downloaded/sacuscreed_santa2025-solutions-guided-refinement,geoffreywang1117;jeanjean111;urdyyz111;danielliaooo;ysd1110;rfblove;aayushpanchal;hxscf13;hayatetaf;zhengzeli111;forseanson;teru0111;lucien1115;mingyuexu111;zhangyn111;qieyuanxiaoye;akila211199;ubugunovartem
71,optuna,70.087776426686,2026-01-30T12:06:47.7133333Z,,,tinatonglin;zhaojinxing;optuna
72,Let me solo her!,70.094384358451,2026-01-30T20:56:36.8566667Z,,,sacuscreed
73,alcanta,70.094649509034,2026-01-30T18:22:42.0166667Z,,,ccotiuga
74,NYU Team,70.097947909748,2026-01-27T01:36:12.7166667Z,,,paerwell;nightven
75,Arial,70.100117893518,2026-01-30T11:17:20.8233333Z,,,arialstar;jonatanarialdo
76,goonew,70.102623002166,2026-01-30T17:32:49.7366667Z,,,goonew
77,Luv sic pt3 🏂,70.107843652486,2026-01-30T23:55:40.2433333Z,,,jackiewang12138;cjacke;zhouzhenkai;shufanmiao;chaneyma
78,VelvetStorm,70.111157691606,2026-01-27T01:48:08.88Z,,,velvetstorm;thalassaa
79,Togawa Sakiko,70.113813070762,2026-01-29T17:04:19.7066667Z,,,neowehgi
80,John Mitchell,70.114552772341,2026-01-30T23:55:08.9866667Z,,downloaded/jbomitchell_s25-j-public-sources-only-blend,jbomitchell
81,DragonAJA,70.117110358065,2026-01-30T22:51:18.9566667Z,,,xingxingruantang;nightridersea;lingmingzi;dragonaja;matianyuu
82,Star,70.120723609717,2026-01-30T23:40:35.4566667Z,,,riverstars;gustardust;xstargate;fengstar;sqlrockstar;moonstarred;arialstar
83,KIT,70.120866848028,2026-01-30T20:50:29.5Z,,,vikasverma9515;nikitamanaenkov;kasakasakun;dogedev2006;flowkite;vladimics;hyujikawamura;kazsapp;nikitabakutov;swatibansod;nikitagajbhiye30;kazukitokunaga;lambdaderta;taichikitajima;yamasakit;nikitakuznetsof;ray6767;nitinmalhotra13;qwertyyyy769492;pulkit321;nyokinyoki
84,Space Coders,70.122400021202,2026-01-30T21:47:04.6566667Z,,,vdebout;skril31
85,ISE@JNU-1,70.123713397226,2026-01-30T15:20:36.3466667Z,,,yangjiahua;zwzwyang
86,Nat Bel ML Fun,70.125674492683,2026-01-30T23:54:20.4366667Z,,,natbel4ml
87,yangsoniya,70.125778654934,2026-01-27T15:46:03.6566667Z,,,soulcool;yangsoniya;yanzhang3127;jude1zhu;kevindong2001
88,gogorush,70.125827786780,2026-01-30T23:57:35.9733333Z,,,justolivercai;caoruizhe;luckybara
89,sasa_leaf,70.129060170512,2026-01-30T23:56:37.4733333Z,,downloaded/sasaleaf_breaking-the-staircase-where-can-we-improve,sasaleaf
90,Team Ramrod,70.129314395774,2026-01-30T23:58:24.75Z,,,decotoj;jamespress;yash9439;marksix
91,Qboy,70.130339550568,2026-01-30T15:39:15.9633333Z,,,yangrumei;unclelee23;nanami0229;zhangboring;yangjianzhu
92,trees of green,70.130438037508,2026-01-30T23:54:01.1566667Z,,,mdv1973
93,Avizs,70.132720844934,2026-01-30T15:57:54.4133333Z,,,yyysss1
94,A. R. SEKKAT,70.133680339136,2026-01-30T23:58:51.6Z,,,arsekkat
95,Ali,70.135388748802,2026-01-30T23:51:24.6766667Z,,,simaman;valisc;declanmcalinden;lalithaar;alihaiderahmad;baidalinadilzhan;alienyeh;martynassabaliauskas;alisalmanrana;halilaka;aliffaagnur;imroze;umuttuygurr;dsshayan;asadalikhan92;aliciamei;muhammaddanyalmalik;carlocaligaris;rooshroosh;calixlin;kunalinfinite;snnclsr;ugurcaliskan;panagiotisalimisis;salinas00;yipeyuuuh;halokkaya;mmpassalini;deralive;alicecoopere;taiakhalid;yvessaidokibundila;akaliutau;alish0x;initializedyh;barkataliarbab;baglanovalikhan;morality0707;kingabzpro;majdiali;richardvalid;azamatbaiganin;mgoksu;taliansky;kendrickboyd;pablosalinas;maliarua;idsalifou;vitaliytserenov;alihamzapeenek;asalhi;aliarafa93;ktlint;web3cainiao
96,YaGana Sheriff-Hussaini,70.136092426818,2026-01-30T23:55:22.47Z,,,sheriytm
97,AoNoHako,70.138730861266,2026-01-30T23:29:50.5566667Z,,,aonohako
