ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
jiweiliu/initialize-n-from-n-1-with-buffer-zone-removal,Jiwei Liu,Initialize n from n+1 with buffer-zone removal,20,,false,false,,matplotlib;numpy;pandas;shapely,267,False,,False,True,True,False,https://www.kaggle.com/code/jiweiliu/initialize-n-from-n-1-with-buffer-zone-removal,downloaded/jiweiliu_initialize-n-from-n-1-with-buffer-zone-removal,68.765306913961,Santa AI Chaotic Elves,12
tobimichigan/christmas-tree-packing-optimization-algorithm,Handsonlabs Software Academy,Christmas Tree Packing Optimization Algorithm,25,,false,false,SA;Ensemble;Physics;Greedy,joblib;matplotlib;numpy;pandas;scipy;shapely;sklearn;tensorflow,945,False,,True,False,True,True,https://www.kaggle.com/code/tobimichigan/christmas-tree-packing-optimization-algorithm,downloaded/tobimichigan_christmas-tree-packing-optimization-algorithm,,,
jeroencottaar/santa-2025-1st-place-solution,Jeroen Cottaar,Santa 2025 1st place solution,2,,false,false,GA,matplotlib;pandas,81,False,,True,False,True,False,https://www.kaggle.com/code/jeroencottaar/santa-2025-1st-place-solution,downloaded/jeroencottaar_santa-2025-1st-place-solution,,Jeroen Cottaar,1
datafad/ai-optimized-code-linked,🔥🦫📿🗽,AI-Optimized Code Linked,9,,false,false,,,1,False,,True,False,True,False,https://www.kaggle.com/code/datafad/ai-optimized-code-linked,downloaded/datafad_ai-optimized-code-linked,68.724299700065,Tree Cuts,206
elvenmonk/4-leaf-clover,Serhii Hrynko,4 Leaf Clover,8,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1895,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/4-leaf-clover,downloaded/elvenmonk_4-leaf-clover,,Serhii H. & Santa ClaudeOpus,66
hanifnoerrofiq/blend-em-all,Hanif Noer Rofiq,blend 'em all,8,,false,false,Ensemble,pandas,34,False,,False,False,True,True,https://www.kaggle.com/code/hanifnoerrofiq/blend-em-all,downloaded/hanifnoerrofiq_blend-em-all,68.710286353194,Hanif Noer Rofiq,265
asimandia/jeroen-cottaar-is-the-president-of-kaggle,Pizzaboi,Jeroen Cottaar is the president of Kaggle,6,,false,false,,matplotlib;numpy;pandas,26,False,,False,True,True,False,https://www.kaggle.com/code/asimandia/jeroen-cottaar-is-the-president-of-kaggle,downloaded/asimandia_jeroen-cottaar-is-the-president-of-kaggle,68.780633952218,Order by aboba desc,47
elvenmonk/merge-manager,Serhii Hrynko,Merge Manager,5,,false,false,Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,618,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/merge-manager,downloaded/elvenmonk_merge-manager,,Serhii H. & Santa ClaudeOpus,66
datafad/post-completion-minor-improvements,🔥🦫📿🗽,Post-Completion Minor Improvements,5,,false,false,,,1,False,,False,False,True,True,https://www.kaggle.com/code/datafad/post-completion-minor-improvements,downloaded/datafad_post-completion-minor-improvements,68.693219987629,Tree Cuts,206
datafad/merge-public-final-submissions,🔥🦫📿🗽,Merge Public Final Submissions,4,,false,false,,numba;numpy;pandas;shapely,202,False,,False,False,True,False,https://www.kaggle.com/code/datafad/merge-public-final-submissions,downloaded/datafad_merge-public-final-submissions,68.694632100974,Tree Cuts,206
mygaps/ensemble-with-collision-resolver,Maxim Gerasimov,Ensemble with Collision Resolver,4,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1259,False,,True,False,True,True,https://www.kaggle.com/code/mygaps/ensemble-with-collision-resolver,downloaded/mygaps_ensemble-with-collision-resolver,70.250113106141,Maxim Gerasimov,270
kotomord/linear-programming-based-waaggghhh-optimizer,Kotomord,Linear programming based waaggghhh optimizer,2,,false,false,,numpy;scipy;shapely,330,False,,True,False,True,False,https://www.kaggle.com/code/kotomord/linear-programming-based-waaggghhh-optimizer,downloaded/kotomord_linear-programming-based-waaggghhh-optimizer,68.710089054782,Order by aboba desc,47
elvenmonk/pure-grid,Serhii Hrynko,Pure Grid,2,,false,false,GA;Physics,joblib;matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1250,False,,True,False,True,True,https://www.kaggle.com/code/elvenmonk/pure-grid,downloaded/elvenmonk_pure-grid,,Serhii H. & Santa ClaudeOpus,66
sushanthegde/collision-free-christmas-tree-packing-with-shapely,sushant hegde,Collision-Free Christmas Tree Packing with Shapely,1,,false,false,Greedy,matplotlib;numpy;pandas;shapely,441,False,,True,False,True,False,https://www.kaggle.com/code/sushanthegde/collision-free-christmas-tree-packing-with-shapely,downloaded/sushanthegde_collision-free-christmas-tree-packing-with-shapely,,,
aryanmdev/santa-2025,Aryan Mishra,Santa 2025,1,,false,false,,numpy;pandas;shapely,225,False,,False,False,True,False,https://www.kaggle.com/code/aryanmdev/santa-2025,downloaded/aryanmdev_santa-2025,88.329997697785,shr,5
pcjimmmy/3d-a-tree,PC Jimmmy,3D_a_Tree,0,,false,false,,numpy,43,False,,False,False,False,False,https://www.kaggle.com/code/pcjimmmy/3d-a-tree,downloaded/pcjimmmy_3d-a-tree,,,
jakupymeraj/copy-submit,Jakup Ymeraj,COPY & SUBMIT,14,,false,false,Translation,numpy;pandas;scipy;shapely,490,False,,True,False,True,False,https://www.kaggle.com/code/jakupymeraj/copy-submit,downloaded/jakupymeraj_copy-submit,,,
artemevstafyev/tree-layout-from-image,Artem,Tree Layout from Image,72,,false,false,Physics,cv2;matplotlib;numpy;pandas;shapely,219,False,,True,False,True,False,https://www.kaggle.com/code/artemevstafyev/tree-layout-from-image,downloaded/artemevstafyev_tree-layout-from-image,70.521208086649,ST,143
